gate,family,run,task,condition,acc,acc_std,acc_minus_majority,loss_gain,label_gap,dispersion_delta,n,params,verdict,path
partial,hyper_smoke,wh_island_variants,blimp,phase_stream_only_normalized,0.5,0.0,0.0,0.023926660418510437,-0.08611835446208715,-0.13902981579303741,1.0,509256.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
partial,hyper_smoke,wh_island_variants,blimp,phase_dynamic_mlp,0.609375,0.0,0.109375,0.045096948742866516,-0.04883300047367811,-0.16739016771316528,1.0,517768.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
partial,hyper_smoke,wh_island_variants,blimp,phase_dynamic_attn,0.609375,0.0,0.109375,0.037083908915519714,-0.11027813795953989,-0.11436039209365845,1.0,526344.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
fail,hyper_smoke,wh_island_variants,blimp,phase_qk_film,0.453125,0.0,-0.046875,-0.004250839352607727,-0.08415091969072819,-0.21802052855491638,1.0,526152.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
partial,hyper_smoke,wh_island_variants,blimp,phase_dynamic_qk_film,0.640625,0.0,0.140625,0.03444856405258179,-0.05299789644777775,-0.12610414624214172,1.0,534664.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
partial,hyper_smoke,wh_island_variants,blimp,complex_directional,0.5,0.0,0.0,0.023921310901641846,-0.08607274759560823,-0.13930079340934753,1.0,509321.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
partial,hyper_smoke,wh_island_variants,blimp,structural_heads_1,0.5,0.0,0.0,0.024011671543121338,-0.08624593913555145,-0.1392124444246292,1.0,509258.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke/wh_island_variants/results.json
partial,hyper_smoke_mps,wh_island_variants,blimp,standard,0.578125,0.0,0.078125,0.0014241188764572144,-0.08570555504411459,-0.1840873807668686,1.0,376064.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_mps/wh_island_variants/results.json
fail,hyper_smoke_mps,wh_island_variants,blimp,standard_iso,0.5,0.0,0.0,-0.025994300842285156,-0.06325981300324202,-0.197591632604599,1.0,500800.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_mps/wh_island_variants/results.json
partial,hyper_smoke_mps,wh_island_variants,blimp,phase_dynamic_qk_film,0.640625,0.0,0.140625,0.03444856405258179,-0.05299815535545349,-0.12610411643981934,1.0,534664.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_mps/wh_island_variants/results.json
partial,hyper_smoke_mps,wh_island_variants,blimp,complex_directional_normalized,0.5,0.0,0.0,0.02392140030860901,-0.08607290778309107,-0.1393006294965744,1.0,509321.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_mps/wh_island_variants/results.json
partial,hyper_smoke_remote,wh_island_variants,blimp,standard,0.578125,0.0,0.078125,0.0014241188764572144,-0.08570545725524426,-0.1840873807668686,1.0,376064.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
fail,hyper_smoke_remote,wh_island_variants,blimp,standard_iso,0.5,0.0,0.0,-0.025994375348091125,-0.06325987353920937,-0.19759155809879303,1.0,500800.0,weak: behavior improves but hidden geometry is not label-separated,resonance/outputs/hyper_smoke_remote/wh_island_variants/results.json
